inject_ns,benchmark,latency_ns,reported_rate_per_s,successful_hw_ops_per_iteration,path,injection_scope
0,HwSinglePushPopPingPong,754.51,1330000,2,hw_wrapper,successful_ops
0,HwSingleFill496Drain496,316330,3160,992,hw_wrapper,successful_ops
0,HwSinglePushOnly,160590,6230,496,hw_wrapper,successful_ops
0,HwSinglePopOnly,153720,6510,496,hw_wrapper,successful_ops
0,RawUgqmPushPopPingPong,622.23,1610000,0,raw_ugqm,outside_wrapper_injection
0,BlkringPushPopPingPong,71.87,13910000,0,blkring,outside_wrapper_injection
0,BlkringFillDrainBatch,18740,53370,0,blkring,outside_wrapper_injection
0,HwSingleEmptyPop,174.69,5720000,0,hw_wrapper,empty_pop
0,HwSingleEmptyPopBatch64,184.00,5430000,0,hw_wrapper,empty_pop
0,BlkringEmptyPop,3.30,303220000,0,blkring,outside_wrapper_injection
0,BlkringEmptyPopBatch64,2.61,383380000,0,blkring,outside_wrapper_injection
0,HwSingleSpscCrossCore,624.44,1600000,1,hw_wrapper,assumed_one_successful_op
0,BlkringSpscCrossCore,56.22,17790000,0,blkring,outside_wrapper_injection
0,HwSingleMpmcMutex,661.87,1510000,1,hw_wrapper,assumed_one_successful_op
0,HwSingleMpmcUnlocked,702.63,1420000,1,hw_wrapper,assumed_one_successful_op
0,BlkringMpmcLockfree,146.25,6840000,0,blkring,outside_wrapper_injection
100,HwSinglePushPopPingPong,920.84,1090000,2,hw_wrapper,successful_ops
100,HwSingleFill496Drain496,405150,2470,992,hw_wrapper,successful_ops
100,HwSinglePushOnly,202950,4930,496,hw_wrapper,successful_ops
100,HwSinglePopOnly,200860,4980,496,hw_wrapper,successful_ops
100,RawUgqmPushPopPingPong,617.59,1620000,0,raw_ugqm,outside_wrapper_injection
100,BlkringPushPopPingPong,72.38,13820000,0,blkring,outside_wrapper_injection
100,BlkringFillDrainBatch,18740,53360,0,blkring,outside_wrapper_injection
100,HwSingleEmptyPop,174.77,5720000,0,hw_wrapper,empty_pop
100,HwSingleEmptyPopBatch64,183.10,5460000,0,hw_wrapper,empty_pop
100,BlkringEmptyPop,3.30,303160000,0,blkring,outside_wrapper_injection
100,BlkringEmptyPopBatch64,2.61,383330000,0,blkring,outside_wrapper_injection
100,HwSingleSpscCrossCore,701.65,1430000,1,hw_wrapper,assumed_one_successful_op
100,BlkringSpscCrossCore,56.30,17760000,0,blkring,outside_wrapper_injection
100,HwSingleMpmcMutex,651.47,1530000,1,hw_wrapper,assumed_one_successful_op
100,HwSingleMpmcUnlocked,698.19,1430000,1,hw_wrapper,assumed_one_successful_op
100,BlkringMpmcLockfree,140.60,7110000,0,blkring,outside_wrapper_injection
1000,HwSinglePushPopPingPong,2750,363000,2,hw_wrapper,successful_ops
1000,HwSingleFill496Drain496,1330000,752.45,992,hw_wrapper,successful_ops
1000,HwSinglePushOnly,661430,1510,496,hw_wrapper,successful_ops
1000,HwSinglePopOnly,661680,1510,496,hw_wrapper,successful_ops
1000,RawUgqmPushPopPingPong,640.23,1560000,0,raw_ugqm,outside_wrapper_injection
1000,BlkringPushPopPingPong,72.37,13820000,0,blkring,outside_wrapper_injection
1000,BlkringFillDrainBatch,18730,53390,0,blkring,outside_wrapper_injection
1000,HwSingleEmptyPop,179.23,5580000,0,hw_wrapper,empty_pop
1000,HwSingleEmptyPopBatch64,185.53,5390000,0,hw_wrapper,empty_pop
1000,BlkringEmptyPop,3.30,303200000,0,blkring,outside_wrapper_injection
1000,BlkringEmptyPopBatch64,2.61,383360000,0,blkring,outside_wrapper_injection
1000,HwSingleSpscCrossCore,1750,572990,1,hw_wrapper,assumed_one_successful_op
1000,BlkringSpscCrossCore,56.48,17710000,0,blkring,outside_wrapper_injection
1000,HwSingleMpmcMutex,1740,573700,1,hw_wrapper,assumed_one_successful_op
1000,HwSingleMpmcUnlocked,1580,632180,1,hw_wrapper,assumed_one_successful_op
1000,BlkringMpmcLockfree,141.05,7090000,0,blkring,outside_wrapper_injection
