name,kind,bud,sleep_us,p50_us,p99_us,p999_us,max_us,client_cpu_pct,server_cpu_pct,drain_timeout,drain_remaining
HOT POLL (pure spin),hot,,,32.35,98.67,99.89,200,100.25,97.75,false,0
IDLE BUD=0 / 1us,idle,0,1,39.33,98.97,116.63,200,47.93,49.42,false,0
IDLE BUD=0 / 10us,idle,0,10,45.03,99.13,111.16,200,13.55,13.29,false,0
IDLE BUD=0 / 100us,idle,0,100,133.35,270.72,297,300,2.41,2.04,false,0
IDLE BUD=0 / 1ms,idle,0,1000,1014.54,1887.58,1999,2100,1.13,0.70,false,0
IDLE BUD=0 / 10ms,idle,0,10000,9816.35,18614,19768,20100,1.15,0.55,true,5
IDLE BUD=16 / 1us,idle,16,1,35.04,98.72,99.89,200,80.97,79.25,false,0
IDLE BUD=16 / 10us,idle,16,10,39.73,98.88,99.97,200,40.94,40.30,false,0
IDLE BUD=16 / 100us,idle,16,100,129.40,257.12,295,300,7.64,7.23,false,0
IDLE BUD=16 / 1ms,idle,16,1000,1012.97,1886.56,1992,2100,1.90,1.26,false,0
IDLE BUD=16 / 10ms,idle,16,10000,9727.83,18674,19439,19800,1.00,0.59,true,3
IDLE BUD=128 / 1us,idle,128,1,33.08,98.74,99.94,200,96.89,94.27,false,0
IDLE BUD=128 / 10us,idle,128,10,34.53,98.76,99.94,200,82.99,81.16,false,0
IDLE BUD=128 / 100us,idle,128,100,68.95,198.15,273,300,34.61,33.42,false,0
IDLE BUD=128 / 1ms,idle,128,1000,539.08,1675,1933,2000,6.06,5.27,false,0
IDLE BUD=128 / 10ms,idle,128,10000,7960.11,18151,19427,19600,1.52,1.02,true,2
IDLE BUD=1024 / 1us,idle,1024,1,32.99,98.78,99.99,200,99.84,95.24,false,0
IDLE BUD=1024 / 10us,idle,1024,10,33.40,98.69,99.89,200,97.81,93.90,false,0
IDLE BUD=1024 / 100us,idle,1024,100,41.71,179.95,198,300,81.28,78.71,false,0
IDLE BUD=1024 / 1ms,idle,1024,1000,305.62,1130,1865,2000,30.95,29.73,false,0
IDLE BUD=1024 / 10ms,idle,1024,10000,4941.41,16125,18452,19700,5.23,4.37,true,6
Socket (TCP baseline),socket,,,65.84,99.65,177,800,1.19,0.72,false,0
